mV1	mV2	mV3	mV4	mV5	mV6
83.7964	93.5172	77.6692	102.15799999999999	89.5188	68.0603
171.769	96.6334	120.70200000000001	117.258	129.679	79.8366
533.401	625.374	521.45	556.135	840.2510000000001	441.76800000000003
114.54700000000001	83.4481	85.4789	141.39700000000002	84.2569	90.835
18.5069	17.0952	16.5989	32.0977	26.2023	18.4847
217.329	240.424	201.69099999999997	224.13400000000001	221.89700000000002	205.00900000000001
39.5853	26.1491	36.222	40.5223	34.6003	41.4328
142.65	126.538	94.8583	131.466	144.803	131.159
283.617	350.63800000000003	303.118	334.655	219.53	284.913
27.8107	22.675	26.5075	26.1369	20.6724	21.0652
25.6335	17.209	20.6757	21.4911	17.7535	16.0807
1004.41	875.557	1014.57	853.637	892.805	857.8589999999999
0.0	4.0506	0.0	4.51164	4.17877	11.3551
113.811	145.754	87.7142	150.168	139.088	109.81
1.07579	1.0505200000000001	2.97505	1.17009	0.0	0.0
91.3323	78.6939	78.001	108.103	89.3023	91.9182
1.1673200000000001	1.7098400000000002	0.0	0.6348189999999999	1.76394	1.59774
9.58961	6.24286	7.36654	11.589	8.58719	7.29196
64.0651	74.0037	69.6791	79.4527	75.5583	62.0228
9.62775	5.93781	9.80921	9.36935	9.699010000000001	10.4035
2.22033	10.4795	6.14021	6.842339999999999	3.72795	4.55853
42.3243	36.6908	41.802	27.7144	44.3779	37.2409
0.0	0.739286	0.0	0.0	0.762678	0.0
2988.42	2541.97	3292.48	2550.51	3004.63	2825.48
265.518	281.855	240.238	280.409	255.486	269.45
10.9463	10.1265	12.7458	22.5582	7.545	18.1366
54.1599	36.1397	51.1736	38.2896	48.1954	49.42
26.9554	28.1219	35.3605	30.3204	25.5303	29.0111
209.713	232.80900000000003	222.82299999999998	216.09	235.72799999999998	240.207
240.87099999999998	325.029	258.577	312.28	285.656	315.775
4.900180000000001	1.59502	9.034130000000001	46.1906	3.2909699999999997	6.707000000000001
50.2814	38.7631	40.2515	89.2288	39.9897	36.2218
858.944	835.3810000000001	818.1160000000001	798.671	885.182	785.193
3.47287	4.06953	3.84162	4.2809099999999995	3.96506	4.43651
52.0495	59.5505	58.0057	62.5263	73.9565	59.0134
619.4580000000001	980.308	774.7589999999999	812.568	976.832	884.0830000000001
308.055	324.497	296.802	307.705	329.336	323.3
1.22002	1.19135	1.68695	14.5965	6.14525	0.0
14.7237	9.756310000000001	10.9065	38.8916	11.1245	11.5158
1.22169	0.0	0.0	5.31508	2.4614700000000003	1.6721599999999999
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.429205	0.397538	0.540121
119.238	124.411	92.5998	113.7	108.602	125.197
205.47400000000002	205.78400000000002	218.648	192.52	183.92700000000002	206.269
407.098	437.707	403.254	422.93300000000005	430.166	440.042
11.7967	20.7352	26.0986	25.6615	7.130439999999999	9.68789
9.2418	2.70739	2.55577	2.01037	5.586119999999999	3.79484
2.03615	0.0	2.81543	2.21462	0.0	2.78693
185.38099999999997	193.52900000000002	184.743	182.25400000000002	196.84799999999998	183.63400000000001
273.586	250.045	242.324	244.08900000000003	236.37900000000002	261.192
578.637	560.464	539.6080000000001	542.998	614.206	457.95300000000003
5.72737	4.793830000000001	3.3940099999999997	5.3394699999999995	2.47276	3.35965
45.3327	33.2007	34.9576	36.0314	24.5906	32.2172
41.8901	30.2347	40.2938	50.184	40.3654	32.4073
45.5404	77.8232	83.9597	74.2981	68.8163	36.3605
1904.38	1477.89	1143.77	1379.2	1268.8	1107.87
32.2259	33.2983	37.3056	26.4917	35.8619	32.3119
148.639	290.293	822.1060000000001	323.334	149.739	406.89099999999996
33.9937	31.2423	33.1792	19.5741	36.2597	20.526999999999997
100.01299999999999	118.085	89.3303	119.139	115.355	91.26
0.0	0.0	0.0	0.0	0.0	0.0
3.34438	0.0	1.54145	2.42501	6.73826	1.5258399999999999
18.2524	14.853	12.619000000000002	16.5435	13.7906	13.1852
457.23400000000004	448.70099999999996	458.0	406.22	410.45300000000003	437.87300000000005
2.50867	1.22486	0.0	5.45712	3.79086	1.7168400000000001
34.0394	4.98595	18.8268	35.1719	20.5748	13.9772
11.8911	16.5882	12.3316	10.6238	9.84	13.3693
105.542	118.09299999999999	123.43700000000001	110.48899999999999	131.13299999999998	116.169
4133.38	3641.78	3499.7	3218.06	4141.71	3573.51
28.308000000000003	27.6429	20.828000000000003	27.1171	26.4246	25.9491
34.1255	36.299	32.8618	42.7504	31.9225	37.1165
