mP1	mP2	mP3	mP4	mP5	mP6
11.8955	5.4529	7.23827	12.8155	13.192	9.92964
1.6256899999999999	2.81526	4.58634	7.8352699999999995	4.378419999999999	3.2956300000000005
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.942845	0.0
122.805	114.802	107.309	113.13799999999999	108.29799999999999	111.258
158.124	178.273	141.341	157.184	153.786	167.78900000000002
367.32800000000003	395.66	385.289	388.977	380.902	400.968
12.5582	8.1553	23.6193	9.07896	0.0	9.54686
4.91918	3.1945099999999997	6.9389199999999995	2.37088	3.3121699999999996	4.98613
2.70948	0.0	35.6716	2.61176	2.43245	0.0
194.829	193.71099999999998	183.215	182.08900000000003	179.56400000000002	190.72299999999998
235.796	240.065	212.602	215.42700000000002	239.602	222.59
504.097	481.715	410.255	524.623	529.207	427.972
8.71011	1.88545	7.167039999999999	3.1484799999999997	1.9548900000000002	2.20717
49.883	29.1295	52.3641	34.6651	27.078000000000003	25.8689
19.3887	31.4776	42.5436	43.6087	35.538000000000004	25.3847
70.7001	65.5895	71.2347	82.7538	45.3368	35.8312
1648.65	1213.95	1671.14	1341.62	1350.89	1205.8
25.929000000000002	28.0638	38.4508	26.4358	28.6498	32.347
395.584	0.0	372.00300000000004	0.0	0.0	200.484
27.9392	21.8877	27.5249	26.9315	17.9162	25.6224
87.3463	103.306	84.4716	111.819	104.637	106.689
0.0	0.0	0.0	0.0	0.0	0.0
1.4834399999999999	2.56892	0.0	0.0	0.0	1.50363
7.4214199999999995	10.5152	13.3236	11.0558	10.9025	14.360999999999999
353.415	422.50300000000004	360.673	302.92400000000004	334.407	337.87199999999996
1.66913	1.4452399999999999	6.2785400000000005	3.21786	4.495419999999999	1.69185
33.9719	1.96101	78.8022	4.366219999999999	18.2991	32.1387
13.5629	8.807730000000001	10.0972	15.2527	8.11745	14.3203
107.089	122.619	134.273	124.661	133.44	106.76700000000001
3621.8	3328.4	2789.77	3385.65	3251.98	3111.87
30.0662	23.9387	26.649	22.9856	23.5794	34.679
29.1924	30.1916	36.9843	35.1744	29.1196	33.6994
32.8069	45.6971	67.0679	41.2482	32.0137	49.1572
41.3023	34.5702	50.4923	33.8407	29.6635	32.7938
0.0	0.0	0.0	0.0	0.0	0.0
15.2063	14.3115	14.2999	14.0205	18.9935	13.4028
320.284	380.48199999999997	299.737	469.81	440.334	318.37
6.84007	12.8323	7.504389999999999	12.0878	17.3987	6.93317
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	1.6351799999999999	0.838058	1.56105	1.7625
72.2576	62.5654	63.5188	65.866	59.2289	58.9113
250.967	230.018	170.937	241.27200000000002	223.31	183.345
46.0292	51.4073	65.2417	41.1539	79.0527	39.894
62.2088	56.903	51.6005	49.2021	48.4019	57.8817
0.537844	0.698551	0.0	0.259223	0.24142600000000003	0.272582
0.682434	0.0	0.0	0.0	0.0	0.0
287.154	236.982	1099.13	259.497	320.22900000000004	261.501
207.334	226.41299999999998	219.71	170.02599999999998	197.248	228.975
919.8489999999999	923.612	631.3919999999999	775.393	873.8889999999999	688.9789999999999
0.0	0.0	1.57851	1.6180299999999999	0.0	0.0
81.639	93.1018	63.665	76.7751	75.9734	76.6953
533.087	441.89099999999996	528.165	457.784	468.13699999999994	525.869
35.4736	37.2307	36.3916	34.1941	38.602	31.598000000000003
87.2154	101.588	98.6151	79.0656	85.7552	81.0356
245.99200000000002	246.417	210.74200000000002	208.798	250.838	205.545
149.095	114.367	151.499	130.213	164.394	143.01
325.08	281.996	413.63	328.994	332.841	300.879
