mK1	mK2	mK3	mK4	mK5	mK6
0.0	0.7964359999999999	0.0	0.0	0.0	0.0
318.872	25.0678	264.14599999999996	111.18799999999999	610.988	199.199
5.905959999999999	9.6908	4.982530000000001	3.29797	5.19401	5.84495
2.9296599999999997	9.33151	1.64773	0.0	1.28825	7.61092
8.117339999999999	18.3337	5.47853	16.3182	12.8499	23.498
1233.59	3658.76	869.737	649.491	1115.88	595.98
9.34422	17.1894	5.1009	7.82693	6.52591	13.4636
73.4235	83.5594	65.3047	90.1064	92.3538	82.3819
78.4004	92.4944	68.8235	65.6699	80.3634	79.622
49.0757	77.9629	42.2532	29.2816	65.1831	71.4808
27.6051	30.4891	37.5949	41.6207	32.2542	33.8084
38.8462	50.6177	40.9655	42.9972	34.7735	40.1612
6.6954	6.979439999999999	4.51883	3.36493	8.83244	8.94541
9.071010000000001	7.8798699999999995	0.0	1.89952	2.99158	2.52487
18.6486	19.5515	15.1903	21.0069	16.1178	23.6269
48.158	88.8977	39.3586	74.3735	129.043	108.912
17.7412	24.0805	16.8382	15.7892	19.0156	17.2836
0.0	0.0	0.0	0.0	0.0	0.0
457.486	774.2560000000001	547.188	492.282	950.44	1007.41
61.1138	46.4526	72.8262	65.2676	50.3876	40.8257
0.0	0.37596999999999997	0.5476989999999999	0.181263	1.14189	0.48187399999999997
63.5863	145.41899999999998	69.5186	96.1964	146.365	135.812
58.3349	67.6562	53.9259	51.2018	65.9023	72.8947
0.0	0.0	0.0	0.657278	0.0	0.0
0.0	0.0	0.0	0.0	0.875625	0.0
1125.92	555.378	1266.5	979.65	587.2080000000001	636.505
171.563	217.015	180.28799999999998	176.48	224.33700000000002	229.55200000000002
1.79655	0.7803220000000001	0.0	0.0	1.18499	0.0
0.0	0.0	0.0	0.0	0.0	0.0
87.1525	136.275	104.57	76.2453	139.241	134.769
663.046	563.4680000000001	686.5260000000001	634.661	510.963	482.22
49.1408	49.95399999999999	38.8112	67.4347	79.9975	62.861000000000004
