mC1	mC2	mC3	mC4	mC5	mC6
58.3119	73.1213	65.8574	73.8722	60.7455	79.4613
62.4142	86.5948	83.1399	90.2015	63.1845	105.444
0.0	1.30958	10.8114	0.0	0.0	0.0
144.946	129.506	165.44799999999998	159.289	115.583	146.915
0.0	1.43387	0.0	4.40906	1.62927	2.44437
61.9821	70.9532	87.8123	70.9939	76.783	83.5175
0.634684	0.622754	0.571244	0.957464	0.0	0.0
39.3211	36.1954	35.7556	39.138000000000005	34.3486	33.2251
166.065	146.773	151.748	154.901	158.29399999999998	162.21200000000002
5.82141	2.8559900000000003	6.98603	4.39099	3.24518	3.2458099999999996
275.53700000000003	261.971	300.834	269.759	199.618	296.098
204.42700000000002	235.945	229.292	177.16099999999997	212.67700000000002	206.829
20.9915	32.0396	34.6377	35.1856	27.3043	39.0136
22.7495	35.808	27.7274	42.184	28.5342	26.5578
0.0	0.0	0.0	0.0	0.0	0.0
329.19699999999995	309.716	313.972	321.88	263.564	330.274
803.064	780.318	729.173	801.947	934.069	710.171
87.80799999999999	70.9532	79.0311	80.5175	115.175	77.7577
332.124	232.77200000000002	259.781	247.533	341.63599999999997	176.91299999999998
48.3843	59.4739	50.4869	48.928000000000004	38.5316	54.4734
156.243	184.96099999999998	166.815	184.173	181.956	174.055
6.7001100000000005	5.47847	7.0354600000000005	20.2151	6.22504	12.1412
18.0715	12.159	19.5182	12.4627	10.9376	6.47745
539.557	507.02099999999996	575.76	504.098	535.479	521.9069999999999
7.64625	9.18412	8.06851	6.56295	7.0551	6.1744
52.2528	27.2048	41.2711	28.9568	26.1564	27.6478
20.9618	38.0504	50.468	23.7167	35.6401	39.8837
762.0110000000001	596.47	722.063	599.313	809.485	617.971
1.051	0.0	0.0	0.0	0.0	0.0
25.035999999999998	20.2303	26.51	24.4384	9.85163	4.92676
1.11471	2.18752	0.0	0.8408100000000001	3.7284300000000004	0.46614300000000003
18.897000000000002	14.4214	17.953	12.6699	17.5571	19.3165
82.275	94.6117	89.6161	115.421	79.46	98.6136
217.611	239.09900000000002	207.081	231.678	226.822	230.342
292.61	330.967	318.522	338.539	251.74	359.184
23.3581	13.0081	23.8643	19.0471	16.8923	16.3675
66.1277	76.5639	80.5475	71.1608	65.37100000000001	83.6959
120.47	100.337	78.1692	88.7552	124.943	112.47
203.266	163.751	170.797	154.452	197.773	164.982
11.1329	8.13915	21.0225	8.56199	10.4652	10.5889
495.351	551.969	540.069	558.685	526.141	444.343
53.7569	59.8469	82.8104	53.803999999999995	58.7818	58.793
451.231	446.906	417.56800000000004	508.13699999999994	434.588	508.495
49.2162	43.934	50.6249	43.5427	46.2078	45.4946
90.1856	89.6396	78.5356	72.4428	65.2917	76.4059
6.80768	4.00783	6.73994	5.13492	6.83098	5.124219999999999
46.2679	40.3539	36.0907	49.6342	36.6824	42.1356
328.07099999999997	303.981	364.98800000000006	336.191	298.156	369.1
16.7973	21.9754	13.8585	28.5074	24.1898	19.3165
47.4278	75.7201	70.9041	63.0593	53.7742	62.5245
76.5727	79.6413	78.108	74.6997	84.2337	87.0961
107.60799999999999	106.993	107.82799999999999	116.88	113.575	122.99600000000001
30.8369	45.3858	48.5705	42.6429	54.4357	67.6995
397.24	456.26300000000003	382.77099999999996	467.95300000000003	391.435	470.98400000000004
41.9793	33.8999	32.7678	30.2632	37.277	32.6236
37.9269	46.2173	40.1923	47.3718	50.6968	38.0299
6.44183	3.16037	2.8989700000000003	4.858969999999999	0.0	5.3876
103.67399999999999	86.7168	79.5442	47.4327	159.17	53.7777
118.734	166.43200000000002	128.976	158.82399999999998	137.595	162.407
81.1671	94.915	89.7329	84.4262	100.411	94.5413
