Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male4
Locus_38728	0	0	0.12	0	0.5
ENSOANG00000010643	0	13.09	3.45	5.15	0.05
ENSOANG00000000436	1.85	19.71	19.32	10.06	1
ENSOANG00000005796	26.49	21.33	34.95	46.02	42.81
ENSOANG00000005184	8.89	10.9	6.17	9.77	36.39
ENSOANG00000001956	13.51	0.17	0.61	0.46	1474.13
ENSOANG00000009384	0.51	0.07	0	0.05	0.04
CUFF.109843	0.18	0.59	0	0.33	0
ENSOANG00000000269	4.14	20.23	16.39	5.68	7.49
ENSOANG00000004025	98.13	155.51	52.98	35.8	88.05
