Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1	Testis_Male2
blastnMouse.CUFF.170449	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000013883	0.12	0	0	0	0	0.21	0	0	0	0	0	1.66	1.02
ENSMMUG00000013574	0.26	0	0	0	0.2	0	0.34	0.38	0	0	0	1019.11	975.94
blastnHuman.ENSG00000250668	0	0	0	0	0	0	0	0	0	0	0	0.04	0
Locus_501600	0.62	2.34	0.72	0	1.95	2.6	1.21	4.06	0.45	1.01	6.16	6.87	3.91
ENSMMUG00000015507	0.37	0.11	0.19	2.08	0.39	0	0.16	1.25	4.77	0.6	0	4.24	3.48
blastnGorilla.Locus_392952	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000231597	0	0.13	0.33	0	0	0	0	0	0	0	0	0.6	0.54
ENSMMUG00000014713	0.18	0.3	0.07	0.59	0.36	0	0	0.07	0.4	0.15	0.46	0.33	0.26
Locus_288694	0	0	0	0	0	0	0	0	0	0	0	14.48	8.98
blastnHuman.ENSG00000226440	0	0	0	0	0	0	0	0	0	0	0	0.43	0.23
Locus_40856	0	0	0	0	0	0	0	0	0	0	0	1.25	1.7
ENSMMUG00000031398	1.28	1.6	0.56	0.12	0.14	0	0	0.8	1.85	0	0	86.72	157.86
ENSMMUG00000000870	0.18	0.17	0.43	0	0	0	0.97	0.81	0.27	1.22	0	0.22	0.12
ENSMMUG00000003686	1.01	1.36	1.08	3.11	1.7	0.96	0.75	1.11	0.92	0.94	0	9.89	4.33
ENSMMUG00000012757	0.89	0	0	0	0	0	0	2.6	0	0	0	1.34	0.28
blastnHuman.CUFF.105734	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000014762	2.04	1.83	2.2	0.61	0.21	5631.59	1024.2	0.39	0.64	0	0	0.55	0.28
Locus_62525	0.91	1.5	3.42	1.68	3.6	0	0	0	0	0	0	0.03	0
ENSMMUG00000014377	5.74	3.14	4.15	5.25	3.45	7.67	4.74	5.15	6.17	10.21	6.36	26.9	47.55
ENSMMUG00000016623	54.84	53.51	69.44	34.29	51.88	85.3	96.64	102.99	64.6	73.43	316.02	49.46	69.04
ENSMMUG00000021011	1.82	1.64	2.15	4.93	4.34	1.78	0.83	2.78	5.44	1.53	0.63	120.02	119.22
ENSMMUG00000004490	1.86	2.07	2.26	1.39	1.58	19.89	26.52	8.16	6.86	11.73	3.37	2.36	1.66
Locus_315068	0	0.04	0	0	0	0	0	0	0	0	0	1.88	2.5
ENSMMUG00000002067	10.52	9.38	8.8	11.33	9.75	12.64	10.01	7.98	12.29	11.02	7.01	24.31	39.57
Locus_289884	0	0	0	2.16	1.04	0	0	0	0	0	0	0.53	0.17
ENSMMUG00000006120	84.52	67.26	82.54	13.08	17.15	12.7	23.24	5.24	5.18	19.44	19.68	4.35	3.29
ENSMMUG00000016219	1.73	2.01	0.75	0.06	0.11	0	0.17	3.21	3.24	0.33	0.25	2.45	2.45
ENSMMUG00000006338	20.43	16.93	22.5	12.37	14.12	22.53	21.99	25.11	20.85	31.76	73.46	35.43	39.5
blastnHuman.ENSG00000228058	0	0.26	0.17	0	0	0	0	0	0	0	0	0	0
blastnPan.CUFF.49303	0	0	0.15	0	0	0	0	0	0	0	0	0.04	0.38
blastnHuman.ENSG00000256757	0.47	0	0	0	0	0	0	0	0	0	0	0.28	0.6
ENSMMUG00000009973	65.19	72.41	74.42	29.74	41.61	26.7	29.42	24.16	22.6	11.68	7.77	18.21	19.55
blastnHuman.CUFF.186867	0	0	0	0	0	0	0	0	0.41	0	0	0.11	0
blastnPan.Locus_94166	0	0	0	0	0	0	0	0	0	0	0	0.61	0.83
ENSMMUG00000021914	14.61	12.42	11.91	20.44	13.81	4.07	21.88	5.5	1.34	0.65	0.6	3.07	3.8
ENSMMUG00000031576	0	0.11	0.29	0	0	0	0	0	0	0	0	94.84	89.47
ENSMMUG00000000157	0.06	0.02	0.05	0	0	0	0	0	0.09	0	0	0.05	0.12
blastnPan.Locus_160146	0	0.17	0	0.37	0	0	0	0	0	0	0	0	0
ENSMMUG00000002006	0	0	0.04	0.06	0.07	0	0.12	2.27	0.48	0	0.06	6.32	5.8
blastnGorilla.Locus_464823	0	0.37	4.67	0.82	0.96	0	0	0	0	0	1.51	0	0
ENSMMUG00000003540	14.35	17.56	15.73	6.79	6.52	8.5	3.93	4.7	2.01	4.05	4.68	23.1	19.75
Locus_21553	0	0.17	0	0.38	0	0	0.73	0	0	0.92	0	0.67	0
ENSMMUG00000000926	0	0	0	0	0	0	0	5.99	9.22	0	0	0.99	1.67
ENSMMUG00000000736	20.1	19.03	18.2	18.09	20.1	14.04	16.91	21.45	13.93	20.56	51.54	25.38	22.52
ENSMMUG00000002623	46.21	42.3	53.26	27.29	38.72	84.82	74.64	75.96	59.77	94.33	157.74	11.47	17.92
ENSMMUG00000003458	19.21	14.98	14.84	9.22	12.04	4.58	1.71	0.04	0.06	0	0.02	0.17	0.19
blastnHuman.ENSG00000249417	0.7	0.63	0.54	0	0.55	0	0.91	3.06	0	0	0	0.42	0
ENSMMUG00000004952	5.72	5.77	5.97	11.16	6.62	26.19	22.23	28.92	16.02	86.76	65.23	6.56	6.59
Locus_140277	0	0.18	0	0	0	2.04	0	0	0	0	0	0.12	0
blastnOpossum.Locus_377146	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_61255	0	0.28	0	0	0	0	0	0	0	0	0	0.73	0.87
ENSMMUG00000001294	8.11	7.06	8.96	9.95	8.64	13.87	8.36	3.96	3.91	4.61	1.33	7.6	11.14
Locus_60680	0.4	0.68	0.31	0	0.11	0	0	0	0	0.22	0	0.19	0.08
