Gene	Brain_Female1	Brain_Female2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1
ENSGGOG00000001722	0	0	0	0	0	0	0	0	0	0	38
ENSGGOG00000015463	615	1182	491	297	70	93	1689	2209	189	206	1555
blastnMouse.ENSMUSG00000085954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Locus_392932	0	0	0	0	0	0	2	1	1	1	8
ENSGGOG00000015996	15	53	36	33	6	5	21	53	35	27	207
Locus_240673	0	0	0	0	0	0	0	0	0	0	7
blastnMacaque.Locus_372566	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_448574	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000027816	3	0	0	0	0	0	0	0	0	0	20
blastnHuman.Locus_146117	0	0	0	0	0	0	0	0	0	0	7
blastnHuman.CUFF.286937	0	0	0	0	0	0	0	2	0	0	1
Locus_293830	55	201	2	1	0	2	8	3	3	9	37
ENSGGOG00000001548	107	375	44	79	37	81	182	367	185	433	1399
Locus_73861	1	1	0	0	0	0	0	0	0	0	16
ENSGGOG00000009366	507	1218	594	330	18	18	496	512	57	169	1333
ENSGGOG00000006584	0	0	2	1	0	0	0	1	1	0	683
ENSGGOG00000016370	95	256	130	87	49	37	67	71	73	110	5748
ENSGGOG00000027473	46	148	36	26	22	7	39	65	43	40	371
blastnOrangutan.Locus_265186	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000004363	1491	3046	954	521	286	157	892	1001	672	880	10491
ENSGGOG00000011835	152	299	136	70	124	69	81	147	172	153	465
ENSGGOG00000017035	2	9	1	0	0	0	1	1	7	18	6
ENSGGOG00000015383	256	627	451	303	153	149	315	366	518	921	2642
ENSGGOG00000026578	0	1	0	0	0	0	1	0	0	0	4
ENSGGOG00000007656	59	136	152	114	21	8	15	11	9	14	803
blastnPan.Locus_177320	0	0	0	0	0	0	0	0	0	0	3
ENSGGOG00000008732	1	5	1	2	0	1	6	4	0	1	3283
Locus_225537	0	0	0	0	0	0	0	0	0	0	71
blastnHuman.ENSG00000230696	0	0	0	0	0	0	0	0	0	0	3
ENSGGOG00000008913	0	0	0	0	0	0	0	0	0	0	10
blastnPan.CUFF.442366	0	1	1	0	0	1	0	2	0	0	7
Locus_134793	0	0	0	0	0	0	0	0	0	0	18
Locus_95171	3	1	0	0	0	0	128	2	0	0	1
blastnMacaque.Locus_61645	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000008939	502	1459	221	145	161	28	112	129	20	58	300
blastnMouse.ENSMUSG00000072828	0	0	0	0	0	0	0	0	1	0	0
ENSGGOG00000022847	0	0	0	0	0	0	0	0	0	0	0
blastnPan.Locus_8051	0	0	0	0	0	0	0	3	0	0	2
blastnHuman.Locus_159328	0	0	0	0	0	0	0	0	0	0	11
ENSGGOG00000010270	3	21	5	2	2	1	14	69	29	45	186
ENSGGOG00000002797	61	194	1	1	0	0	3	0	0	1	97
blastnHuman.ENSG00000255314	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_221692	0	0	0	0	0	0	0	0	0	0	0
