Gene	Brain_Female1	Brain_Male1	Cerebellum_Female1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1
ENSPPYG00000010548	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSPPYG00000013367	66	22	11	0	0	0	2	0	0
ENSPPYG00000016936	0	0	0	0	1	0	0	0	0
ENSPPYG00000014602	25	25	31	33	6	27	43	19	40
ENSPPYG00000020823	2	1	0	0	0	0	0	0	0
blastnHuman.ENSG00000250015	0	0	2	0	0	0	0	0	1
ENSPPYG00000001513	2	0	3	0	1	0	2	1	0
blastnHuman.ENSG00000227237	1	0	2	0	0	0	0	0	0
ENSPPYG00000017114	8	6	2	31	19	9	18	32	43
ENSPPYG00000007540	640	355	803	462	197	899	1288	709	1184
blastnHuman.Locus_183388	0	0	0	0	0	0	0	0	0
ENSPPYG00000006716	213	92	439	0	4	17	12	15	47
ENSPPYG00000007380	323	292	146	110	73	368	296	213	501
blastnGorilla.Locus_464869	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000240256	0	0	3	2	0	0	1	3	4
ENSPPYG00000002213	32	17	20	11	6	10	11	4	7
blastnHuman.ENSG00000256810	0	0	1	0	0	0	0	1	1
ENSPPYG00000006486	1254	504	631	43	18	61	70	17	37
ENSPPYG00000004967	1	1	0	0	0	1	1	3	0
ENSPPYG00000003647	41	0	4	64	7	37	16	277	52
ENSPPYG00000005397	58	95	11	90	61	46	49	39	13
ENSPPYG00000011667	465	204	106	223	218	284	156	432	634
ENSPPYG00000008921	4	2	82	18	2	7	14	68	201
blastnMouse.Locus_92698	0	0	0	0	0	0	0	0	0
Locus_179378	15	4	0	0	1	2	6	0	1
blastnPan.CUFF.266292	0	0	0	1	0	1	0	0	0
blastnHuman.CUFF.319877	0	0	0	0	0	0	0	0	0
ENSPPYG00000016775	6	1	3	16	3	8	10	13	25
blastnHuman.ENSG00000247810	0	0	0	0	0	0	0	0	0
blastnHuman.XLOC_008149	0	3	0	1	0	1	3	3	0
blastnGorilla.Locus_135167	0	0	0	0	0	0	0	0	0
ENSPPYG00000004534	84	34	41	100	39	95	86	13	61
ENSPPYG00000009058	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_340865	0	0	0	0	0	0	0	0	0
ENSPPYG00000002391	71	15	41	4	2	31	75	4	8
blastnMacaque.Locus_499266	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_39469	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_114914	0	0	1	5	0	1	2	0	0
blastnMacaque.Locus_116147	0	0	0	0	0	0	0	0	0
ENSPPYG00000004337	46	7	42	91	5	466	737	1064	1785
blastnMacaque.Locus_40756	0	0	0	0	0	0	0	0	0
blastnMouse.ENSMUSG00000085954	12	3	2	0	0	0	0	1	0
ENSPPYG00000018174	6	0	1	93	21	1169	1220	986	1509
blastnMacaque.Locus_372566	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_448574	0	0	1	0	0	0	0	0	0
blastnHuman.Locus_146117	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000253921	1	0	2	1	1	0	2	0	1
blastnHuman.CUFF.286937	0	0	0	0	0	0	0	0	0
ENSPPYG00000019420	73	40	114	44	13	29	66	21	50
blastnGorilla.Locus_294731	0	0	0	0	0	0	0	0	0
ENSPPYG00000008500	2105	1214	809	376	237	1337	1880	634	2485
blastnMacaque.Locus_72774	0	0	0	0	0	0	0	0	0
ENSPPYG00000010084	156	90	269	95	78	111	276	89	207
ENSPPYG00000010926	152	105	5	36	41	35	45	25	73
blastnPan.Locus_177320	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000230696	0	0	0	1	0	0	0	1	0
ENSPPYG00000002611	9	0	5	4	0	120	195	730	1037
ENSPPYG00000011592	446	285	277	175	101	344	412	174	451
ENSPPYG00000005092	396	229	284	227	96	329	455	310	413
ENSPPYG00000012189	0	0	0	3	0	259	1	105	2
ENSPPYG00000014715	2	0	1	4	1	10	7	12	27
blastnPan.CUFF.442366	1	2	0	0	0	2	1	0	0
Locus_58266	0	0	1	0	0	0	0	0	1
blastnGorilla.Locus_439476	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_61664	0	1	0	0	0	0	0	0	0
ENSPPYG00000016080	140	12	60	155	50	98	61	659	835
ENSPPYG00000003455	171	54	207	295	48	166	329	108	184
ENSPPYG00000018216	387	199	358	146	92	262	201	89	199
ENSPPYG00000008755	285	261	233	85	34	341	461	141	465
blastnMacaque.Locus_61645	0	0	0	0	0	0	0	0	0
ENSPPYG00000018623	3	1	0	0	0	2	2	0	0
blastnHuman.ENSG00000235743	0	0	0	0	0	0	0	0	0
ENSPPYG00000017109	57	25	58	124	38	54	80	65	73
blastnPan.Locus_8051	3	1	0	1	0	0	0	0	0
blastnHuman.Locus_159328	0	0	0	0	0	0	0	0	0
ENSPPYG00000018793	410	352	289	234	86	151	291	308	414
ENSPPYG00000012150	38	6	16	80	15	6	15	8	5
ENSPPYG00000016608	92	22	20	47	36	90	105	21	47
blastnHuman.ENSG00000255314	0	0	0	0	0	0	0	0	0
ENSPPYG00000016695	0	0	0	0	0	0	0	0	0
ENSPPYG00000001267	56	12	19	36	20	13	23	194	55
blastnMacaque.Locus_221692	0	0	0	0	0	0	0	0	0
ENSPPYG00000004717	194	95	203	463	153	121	179	310	350
ENSPPYG00000012353	75	27	35	95	54	70	108	118	93
CUFF.197012	0	0	0	0	0	13	144	0	0
blastnPan.Locus_130057	0	0	0	0	0	1	0	0	0
ENSPPYG00000012292	10	5	18	64	12	16	58	10	27
ENSPPYG00000009651	84	82	59	12	5	13	32	8	19
blastnPan.CUFF.167073	1	0	0	0	0	0	0	0	0
ENSPPYG00000012004	0	0	0	0	0	0	0	0	0
