Gene	Brain_Female1	Brain_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2
ENSXETG00000005416	458	848	18	11	31	26	16	22	110	284	103	184
ENSXETG00000000531	269	536	156	117	423	366	253	208	1217	190	724	880
Locus_97884	95	74	0	0	37	19	1	0	0	0	7	13
ENSXETG00000000054	719	828	324	321	697	589	304	444	4414	1921	1380	1115
ENSXETG00000003504	1379	1426	778	781	1365	1134	535	623	594	1058	1622	1482
Locus_4818	3	1	0	0	0	0	1	1	0	0	4	1
Locus_141020	2	4	3	4	2	1	5	1	10	14	123	551
ENSXETG00000019277	983	976	526	406	1833	1308	618	656	3205	816	1117	947
ENSXETG00000017304	54	75	33	38	64	56	24	48	395	422	207	448
ENSXETG00000024087	1256	1188	939	649	1626	1378	437	830	5632	5944	6111	4079
ENSXETG00000023236	2	3	0	0	17	11	4604	4832	0	0	93	78
blastnMacaque.Locus_289498	3	5	0	0	0	0	0	0	0	0	0	0
ENSXETG00000026496	107	159	1	0	0	0	0	0	0	0	4	14
ENSXETG00000004078	871	1059	453	437	636	637	372	452	4212	5182	2909	5016
Locus_59968	129	108	38	68	200	220	5	0	0	0	84	118
ENSXETG00000033874	523	488	2517	2236	917	822	290	377	13	8	936	2124
ENSXETG00000015786	814	933	264	240	216	306	143	228	365	244	155	111
ENSXETG00000023649	49	53	30	23	41	28	37	15	438	422	393	383
ENSXETG00000031822	2	0	24	0	9	0	1	0	0	0	1	21
ENSXETG00000030758	1	3	0	2	250	137	258	328	0	3	5	14
ENSXETG00000030433	50	55	13	7	396	469	22	41	3	16	39	58
ENSXETG00000007973	2204	2623	898	1207	1357	1558	580	825	2571	1191	6514	4538
ENSXETG00000014940	934	1076	795	1424	736	870	378	603	297	270	611	513
ENSXETG00000009517	22011	23612	22409	15447	39020	22181	18641	12031	71196	23436	34082	7629
ENSXETG00000006442	127	100	3	5	43	93	0	0	298	808	122	246
Locus_112317	0	0	3	0	2	2	0	1	24	7	54	49
ENSXETG00000017065	6998	7508	10428	6234	9889	7860	10961	9815	345	670	3539	2876
ENSXETG00000014934	166	209	8	3	145	74	11	5	0	0	1403	2733
ENSXETG00000023647	15692	17877	790	619	2095	1993	868	1094	3090	1445	2032	1187
ENSXETG00000032694	1	1	3	1	6099	4043	7	8	2	0	5	14
ENSXETG00000023141	959	969	340	335	340	391	121	175	1625	2834	2093	3065
ENSXETG00000026976	281	355	142	86	344	371	33	33	341	202	266	1004
ENSXETG00000012866	2538	2761	1492	2004	2585	3004	1370	2339	12974	6614	9257	2507
ENSXETG00000009579	3	1	1	1	10	21	10	8	4	62	8	31
ENSXETG00000004009	450	626	271	450	396	540	135	302	1276	1795	947	1713
ENSXETG00000015831	1625	1051	1367	607	2695	2016	2335	1279	4088	1139	7060	2207
ENSXETG00000000793	665	800	20	15	154	130	7	37	4	3	175	72
ENSXETG00000030188	194	137	5	0	492	343	19	1	464	500	5808	5046
ENSXETG00000017078	75	11	0	0	0	0	0	0	0	0	14	16
ENSXETG00000020657	286	269	160	153	345	331	72	111	1557	3288	2309	3566
Locus_78109	696	184	1146	293	806	342	1810	1686	15	40	450	323
ENSXETG00000016357	423	380	178	131	375	420	278	675	3305	1549	587	380
ENSXETG00000010290	484	731	6	1	11	5	0	0	103	20	41	77
Locus_115840	0	0	0	0	0	0	0	0	0	0	4	16
ENSXETG00000022808	50	34	2	2	148	187	112	51	1	2	18	20
Locus_47875	13	8	0	0	0	0	0	0	0	0	3	1
ENSXETG00000002635	1351	1362	3863	5897	2595	4835	397	812	90	85	1033	928
ENSXETG00000027914	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000022040	358	424	167	110	588	373	177	132	387	644	366	782
ENSXETG00000022932	1090	1184	461	591	583	629	268	328	2944	2578	3354	2295
ENSXETG00000008422	2627	3040	1941	2157	3029	2832	1565	1964	6706	5392	11370	4756
ENSXETG00000031598	0	0	0	0	0	0	0	0	2	16	1	3
ENSXETG00000012711	136	174	220	308	804	935	81	132	834	232	57	51
ENSXETG00000009635	99	105	46	43	69	48	15	26	205	233	187	302
ENSXETG00000018176	1	2	0	0	2	1	0	1	21	203	7	35
Locus_34315	2	2	2	1	6	1	0	0	8	7	18	18
ENSXETG00000025036	0	0	0	0	0	0	0	47	0	0	0	0
ENSXETG00000006058	574	362	2438	2229	2964	3839	1802	3462	1529	1608	1258	2297
ENSXETG00000004281	28	24	32	30	37	17	2	13	140	195	35	57
ENSXETG00000010447	299	293	155	185	295	278	98	161	1954	1629	1417	1520
ENSXETG00000009314	3	0	23	15	6	12	3	0	0	0	1	6
ENSXETG00000012209	504	466	187	123	285	317	118	130	1236	1146	412	277
