Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2	Testis_Male3
ENSGALG00000017092	436	385	825	973	1158	373	258	464	541	403	238	7734	4251	1473	1811	3111
ENSGALG00000013980	51	43	37	21	34	36	44	41	19	25	6	1373	794	31	46	152
ENSGALG00000015325	101	67	267	64	59	21	19	42	16	65	37	654	318	171	162	936
ENSGALG00000006038	97	50	123	243	292	247	151	210	248	95	53	4003	1318	209	262	1242
ENSGALG00000007666	250	159	1653	84	75	0	0	0	1	0	0	7	1	2	1	5
Locus_87479	0	0	0	0	0	0	0	0	0	2	0	1	0	7	1	36
ENSGALG00000007179	190	179	35	87	107	0	0	0	1	25	0	5315	1245	5	3	14
ENSGALG00000015231	130	96	316	119	119	48	34	85	89	49	40	1274	289	208	233	814
Locus_49306	1	0	1	0	0	0	0	5	0	0	0	31	2	4	2	2
ENSGALG00000000787	547	295	1739	509	542	377	385	911	586	592	704	11960	1634	3146	2649	9766
ENSGALG00000011613	1360	696	1949	41	82	0	7	26	15	1	0	237	60	180	180	349
ENSGALG00000008964	0	1	8	2	1	14	28	17	15	3	2	10	12	40	69	651
ENSGALG00000000067	230	127	113	102	220	25	30	2237	2002	2406	5550	121	304	240	91	72
ENSGALG00000000908	237	163	1437	322	395	461	362	182	200	124	90	9947	1182	239	311	2699
ENSGALG00000014647	551	416	1019	865	1211	734	726	990	1035	688	827	6916	3347	1494	1197	2272
CUFF.31988	0	0	2	1	1	3	1	6	0	0	0	7	0	2	0	3
ENSGALG00000015176	0	0	1	1	0	0	0	3	11	0	0	1521	207	0	4	8
Locus_80999	2	0	2	3	0	0	0	3	0	0	0	0	0	1	4	23
ENSGALG00000019793	15	15	11	5	15	11	8	15	18	16	11	202	261	28	11	35
ENSGALG00000013549	1078	671	776	697	965	356	371	465	498	484	904	2000	1433	1608	866	1088
ENSGALG00000022233	0	1	0	0	1	0	0	80	81	79	235	1	0	5	2	5
ENSGALG00000023639	83	32	19	37	106	17	55	27	16	6	44	72	73	47	10	24
ENSGALG00000002866	71	60	124	143	169	90	73	239	284	76	114	3731	872	334	348	1151
ENSGALG00000021885	1951	1422	3606	1271	1545	250	180	4	3	5	0	39	32	1490	1093	1676
blastnHuman.CUFF.175691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000013005	58	47	423	52	68	39	24	123	74	55	21	2870	425	204	224	2148
ENSGALG00000015905	41	33	24	17	34	33	17	1335	1197	14	6	897	541	32	42	105
ENSGALG00000008376	298	160	1227	246	286	160	112	296	243	244	169	5857	721	454	582	4111
Locus_65241	2	3	0	1	3	0	3	0	0	0	6	1	1	295	78	49
ENSGALG00000006360	430	343	848	423	571	113	88	286	201	182	135	1519	1296	639	1275	2626
ENSGALG00000013705	391	204	437	240	390	82	103	505	887	365	588	1023	571	392	266	478
ENSGALG00000017079	407	302	932	359	524	302	223	475	416	351	215	6550	3863	403	533	2009
ENSGALG00000009929	23	13	24	6	9	2	0	0	0	0	0	1	2	5	3	9
ENSGALG00000001779	178	107	137	158	244	22	28	33	35	72	86	165	227	467	202	266
