Brain	Cerebellum	Heart	Kidney	Testis
ENSGALG00000018282	0	0	0	6	0
ENSGALG00000025638	0	0	0	0	0
ENSGALG00000021798	121	26	33	960	133
ENSGALG00000025229	0	0	0	0	5
ENSGALG00000025250	0	0	0	0	0
ENSGALG00000018245	38	21	16	55	29
ENSGALG00000018274	3	1	1	0	3
ENSGALG00000025495	0	0	0	0	0
ENSGALG00000021951	1	0	0	0	4
ENSGALG00000025415	0	0	0	0	0
ENSGALG00000025213	0	0	0	0	0
ENSGALG00000021783	4	1	0	15	2
ENSGALG00000018253	945	669	384	525	1955
ENSGALG00000021800	64	37	24	39	21
ENSGALG00000025318	0	0	0	0	2
ENSGALG00000025538	0	0	0	0	0
ENSGALG00000025307	0	0	0	0	0
ENSGALG00000025572	0	1	0	3	0
ENSGALG00000025281	0	0	0	0	0
ENSGALG00000025565	0	0	0	0	0
ENSGALG00000018314	6	2	1	0	8
ENSGALG00000018291	316	83	110	318	189
ENSGALG00000021775	582	393	339	437	721
ENSGALG00000025642	0	0	0	0	0
ENSGALG00000025243	0	0	0	0	0
ENSGALG00000025252	0	0	0	0	0
ENSGALG00000025157	1	0	0	0	0
ENSGALG00000025526	203	111	13	14	22
ENSGALG00000025174	0	0	0	0	0
ENSGALG00000025269	1	0	1	0	0
ENSGALG00000025301	6	0	0	0	0
ENSGALG00000025260	0	0	0	0	1
ENSGALG00000025463	0	0	0	0	0
ENSGALG00000025158	0	0	0	0	3
ENSGALG00000025551	44	34	34	3	21
ENSGALG00000025690	10	1	6	12	105
