Gene	Brain_Female1	Brain_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2
ENSXETG00000032626	0.41	0.29	0.27	0.81	0.11	0.05	0.02	0.02	0.02	0.03	3.38	2.4
ENSXETG00000004893	11.45	12.59	0.1	0	0	0	0	0	0.02	0	0.67	2.25
ENSXETG00000019981	0.34	0.44	1.1	2.02	0.15	0.5	0	0	0	0	2.09	3.93
ENSXETG00000000409	0.11	0.06	0.4	0.07	2.57	2.51	7.75	3.46	0.04	0.13	1.26	2.26
ENSXETG00000011233	5.95	10.05	4.37	2.67	16.81	10.46	11.62	7.78	11.4	7.45	5.02	22.7
CUFF.44068	1.52	1.62	0.28	0	0	0	0	0	0	0	0.11	0
ENSXETG00000021391	5.74	4.79	2.08	1.65	2.68	3.59	0.48	0.18	0.6	0.13	8.1	3.29
ENSXETG00000032997	0	0	0	0	0	0	0	0	0	0	0.94	1.26
Locus_115955	0.71	0.63	0.44	0.43	0	0	0.61	0.45	19.92	27.66	36.01	43.55
ENSXETG00000030999	1.63	0.96	113.94	102.18	11.06	15.36	63.37	88.65	0	0.18	1.81	2.42
ENSXETG00000021244	1.75	1.89	0.06	0.11	1.83	1.92	0	0	1	2.1	39.8	36.78
ENSXETG00000008906	0.15	0.13	0.19	0	0.75	0.39	0	0	0	0	0.26	0.22
ENSXETG00000015913	42.49	46.16	99.09	105.64	169.31	137	207.96	134.2	3.41	12.65	57.63	76.86
ENSXETG00000023471	0	0	0	0	0	0	0	0	0	0	0.06	0
ENSXETG00000023015	4.74	4.41	12.73	15.21	9.45	11.64	13.13	19.31	4.23	15.24	9.02	38.48
ENSXETG00000008168	5.72	5.01	13.92	13.27	12.56	10.37	10.04	8.24	17.23	21.02	6.51	4.67
ENSXETG00000000979	2.34	3.7	1.06	0.88	0.77	0.67	0.74	0.52	3.1	5.57	36.8	104
