Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male1	Testis_Male2	Testis_Male3	Testis_Male4
ENSOANG00000006318	1275	847	866	1117	1373	1913	1649	970	1279	935	873	1906	3177	4851	718	3648	1376	4730
ENSOANG00000010245	173	80	417	109	62	18	17	26	72	41	33	475	215	101	60	190	78	885
Locus_133457	102	80	45	63	49	0	0	0	0	0	0	0	0	0	0	2	1	6
ENSOANG00000015151	65	35	28	56	63	9	29	6	34	15	22	18	77	80	23	96	19	50
ENSOANG00000020676	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
Locus_19908	0	0	2	0	1	0	1	0	0	0	1	12	1	0	3	1	2	2
Locus_23573	3	2	6	4	0	3	0	0	0	0	0	0	2	0	2	13	14	12
ENSOANG00000011253	411	173	902	301	283	446	337	548	692	239	133	1371	598	509	112	656	217	1519
ENSOANG00000009191	237	44	188	169	94	80	41	436	317	404	166	3014	2694	1313	142	530	129	731
ENSOANG00000000520	212	637	2591	174	225	12	2	10	14	4	2	151	51	32	55	170	80	242
ENSOANG00000021540	49	34	112	31	67	30	41	14	37	13	4	94	31	50	140	334	307	2757
ENSOANG00000007514	704	106	1607	299	133	81	66	56	101	329	69	4967	1044	1232	66	297	134	3007
Locus_79110	3	3	5	1	1	0	0	0	2	1	0	17	5	13	12	44	14	151
Locus_111397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	9	198
Locus_60430	4	3	2	5	8	12	7	0	5	2	1	29	25	18	9	26	8	11
ENSOANG00000002987	948	583	1638	1238	1201	225	173	198	342	242	223	1704	508	593	91	387	157	782
Locus_82465	1	0	0	0	0	0	0	1	4	0	0	1	2	2	0	3	0	0
Locus_111351	6	2	10	3	1	0	0	0	1	0	0	1	0	3	6	12	7	62
ENSOANG00000014694	264	264	171	445	400	164	138	120	262	100	128	144	242	184	145	666	341	587
ENSOANG00000006266	230	165	936	252	182	52	53	55	66	43	43	698	149	201	75	307	164	1052
ENSOANG00000009008	3	1	0	4	6	0	0	5	16	151	39	26	204	356	1	15	14	6
Locus_112974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	10
ENSOANG00000006717	8	7	41	2	6	5	5	259	234	238	266	229	135	86	2	6	2	14
ENSOANG00000001688	46	19	22	51	97	25	9	2251	2203	12	5	38	53	68	7	36	22	17
ENSOANG00000001679	3	0	0	0	0	0	0	0	3	13207	13993	0	1	43	6	15	6	6
ENSOANG00000013874	279	407	228	246	255	181	58	988	830	9	35	177	237	130	36	87	47	73
Locus_119348	12	16	11	13	1	2	5	0	1	6	1	14	30	32	2	22	26	40
ENSOANG00000002534	71	50	45	84	78	55	52	50	67	122	70	268	179	257	15	102	49	75
blastnPan.Locus_72666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000014863	915	1094	185	90	75	6	0	24	54	0	0	0	6	3	240	537	626	304
ENSOANG00000002807	0	2	2	1	1	5	2	4	3	1	1	2	28	3	5	23	7	2
Locus_57210	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011737	171	149	554	194	136	129	60	121	128	166	136	978	289	280	115	333	153	1334
ENSOANG00000011474	73	82	68	30	12	50	9	2	1	5	40	34	27	4	15	66	29	62
Locus_145291	1	3	3	1	3	0	2	4	2	7	7	14	101	26	3	12	2	3
ENSOANG00000013190	1	0	0	0	0	1	1	1535	5586	8193	8069	0	0	0	3	33	10	21
Locus_184561	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	2	2
Locus_148754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	6	7
ENSOANG00000004551	2	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000009387	277	146	104	230	164	109	202	29	136	65	61	88	177	320	79	302	241	412
Locus_87809	10	2	1	0	4	3	2	3	2	1	1	23	27	55	1	2	6	1
ENSOANG00000000619	228	109	112	143	150	228	113	323	267	74	38	472	460	709	65	259	108	265
ENSOANG00000010662	157	82	168	95	81	191	71	194	150	213	137	258	211	126	54	202	85	156
ENSOANG00000005459	100	49	143	105	79	20	32	25	65	163	233	271	108	88	285	810	273	3312
Locus_177921	10	1	71	7	2	2	5	13	33	33	27	719	538	158	3	26	5	48
blastnHuman.ENSG00000223911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSOANG00000000698	30	34	23	36	30	21	14	73	89	61	44	161	237	191	77	241	61	215
ENSOANG00000020524	6	0	0	5	0	1	1	0	3	0	0	3	1	4	1	21	17	51
ENSOANG00000020890	2	2	6	1	2	1	2	4	6	10	3	234	173	290	5	18	8	51
Locus_125463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	8	8
ENSOANG00000002916	104	50	58	33	37	38	31	19	60	48	30	443	346	417	58	267	161	417
ENSOANG00000008306	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0
Locus_107098	2	1	14	121	139	31	37	0	0	0	0	0	0	0	0	1	1	0
ENSOANG00000004437	65	60	70	89	55	69	50	34	62	12	27	127	122	73	126	519	257	547
Locus_89942	0	0	0	1	0	1	0	2	1	0	0	2	3	6	1	11	2	4
ENSOANG00000021104	12	15	14	34	10	15	11	15	37	17	21	142	51	35	8	53	32	76
