ENSEMBL ID	hM1	hM2	hM3	hM4	hM5	hM6
ENSG00000101421	596.2280000000001	644.826	681.7610000000001	986.163	611.363	491.06199999999995
ENSG00000101425	1.53216	0.0	2.1316200000000003	1.31215	2.05649	7.5391
ENSG00000101438	0.0	0.0	0.693246	0.0	0.0	0.0
ENSG00000101439	3960.28	2541.1	4287.66	2817.84	3277.26	5238.0
ENSG00000101440	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101442	4.27228	18.5736	21.3978	19.0258	13.7624	24.1754
ENSG00000101443	0.0	0.0	1961.46	0.0	0.0	13.1388
ENSG00000101444	237.02900000000002	202.892	171.517	317.322	96.906	145.79
ENSG00000101445	0.0	4.366680000000001	15.092	12.7738	5.46001	0.0
ENSG00000101447	1.1838899999999999	0.9531280000000001	3.29417	0.0	0.0	0.0
ENSG00000101448	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101452	3.62503	11.6738	14.1214	23.5942	19.4623	19.6209
ENSG00000101457	42.1125	35.5186	26.5046	58.3916	13.4581	46.8706
