TNMD	27
CST7	9	
MAP2	151	
PIAS2	149	
AMPH	22	
ARAF	409	
MCCC1	104	
LAMP3	3	
FAP	35	
NEBL	38	
ACER3	108	
UBE2K	287	
PIK3C3	139	
N4BP2	19	
TULP3	112	
SYNJ2	60	
PPP2R5C	343	
RBFOX1	347	
HOXA9	30	
EDN1	27	
MLLT10	158	
ZCWPW1	35	
ADCYAP1R1	34	
FGF20	0	
ITM2A	349	
NRD1	1364	
VDAC3	1378	
PCM1	772	
TNRC6C	160	
CBFA2T2	154	
ITCH	172	
PKD2L2	25	
TP53INP2	807	
MYH7B	1066	
BPIFB2	0	
TP73	6	
UBE2D4	296	
CLUL1	0	
RUNX1T1	112	
CDH17	1	
THOC1	84	
FKBP7	44	
OSBPL6	188	
SLC1A3	115	
XRCC5	626	
LXN	36	
SP140	11	
TNS1	3868	
REXO1	153	
SAR1A	445	
CDC14A	32	
RAPGEF3	306	
CEACAM1	22	
SENP1	48	
DUSP13	482	
CIC	439	
LIPE	573	
FDFT1	571	
PAFAH1B3	19	
OPHN1	110	
AFM	0	
KIF22	61	
SCGN	0	
LRRC16A	33	
PGM1	2629	
DDX1	543	
DNM2	614	
EPB41L2	529	
MOXD1	7	
STX7	280	
RABL2B	55	
KEAP1	514	
DDX43	6	
PTPRH	2	
DCT	5	
SLC35C2	127	
CRYBG3	244	
EPHA6	2	
SCTR	3	
RIF1	2120	
RAB21	434	
SLC4A4	31	
RDH8	0	
SESN1	607	
MID2	47	
PIH1D3	0	
COL5A3	195	
SRCAP	661	
KIAA0020	56	
CPB2	0	
CHRNA3	0	
KCNN2	5	
CNOT4	159	
PSEN1	172	
CPOX	71	
CLDND1	247	
MOK	35	
HSP90AA1	9639	
RBL1	57	
DLGAP4	527	
IGSF9B	36	
NDC80	1	
AP4E1	79	
RSBN1	54	
MAGI3	50	
CXCL2	263	
AFP	1	
COL4A4	106	
TCF7	30	
OSTM1	123	
CDH7	2	
IMPG2	7	
PCNP	454	
EXD2	88	
ARG2	154	
MEF2C	1810	
CACNA1S	2001	
PKP1	22	
UBA5	183	
STK17B	114	
CDC14B	169	
ZNF510	46	
LRP2	0	
ZNF506	56	
JMJD4	44	
DUSP12	30	
AACS	54	
KIAA0141	240	
SLC13A1	0	
CADPS2	75	
PCDHB4	26	
PCDHA6	0	
HSPB11	38	
PHLPP1	52	
ATP8B1	72	
SMARCD3	543	
WDR70	83	
MPP4	2	
BZW1	414	
PGR	37	
ME2	175	
CCNT2	157	
FAM135A	48	
COL19A1	1	
EPB41L3	109	
COBLL1	292	
DLG3	82	
KCNK2	3	
SERTAD4	36	
TRAF5	81	
MRPL22	61	
