ENSEMBL ID	hP1	hP2	hP3	hP4	hP5	hP6	cP1	cP2	cP3	cP4	cP5	cP6	rP1	rP2	rP3	rP4	rP5	rP6	mP1	mP2	mP3	mP4	mP5	mP6
ENSG00000074696	181.15099999999998	172.515	147.632	163.016	193.122	132.49200000000002	186.187	175.828	222.774	223.17	232.135	190.111	257.373	201.907	259.725	225.08700000000002	191.922	18.4731	262.524	171.261	209.675	207.99099999999999	190.483	170.108
ENSG00000074706	172.487	158.86	53.1502	76.3351	191.476	52.3576	138.343	78.9899	146.476	108.374	144.276	86.8154	147.252	89.2867	154.016	135.344	80.9689	15.7279	70.8144	83.5164	59.7042	56.4913	72.343	74.2534
ENSG00000074755	37.3699	28.6271	24.3412	21.026	43.9556	18.0563	34.2372	36.457	41.9782	29.219	43.4698	31.3733	55.1526	40.7692	50.2883	55.5101	38.0961	5.29485	50.4913	49.4367	40.4951	50.129	53.3572	43.6482
ENSG00000074771	0.0	0.0	0.0	0.8363709999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8867120000000001	0.0	1.2369	2.7955400000000004	7.93946	0.0	0.0	0.0	0.0	0.0	0.0	0.662571	0.0
ENSG00000074800	1883.1	1935.11	2084.48	2531.42	1775.1	2320.95	2227.1	2545.85	2638.09	2500.33	2990.97	2210.87	1797.0	2602.44	2047.08	1433.91	2635.2	2225.39	38.3776	30.6737	62.9259	62.6042	81.2754	93.7588
ENSG00000074803	2.93174	1.4400700000000002	0.8919959999999999	12.4965	2.7159400000000002	10.7051	0.0	0.0	0.0	0.43698100000000006	1.2272399999999999	0.456851	0.593557	1.9112099999999999	4.0316	0.37175	0.0	0.0	0.380858	0.659543	1.79077	1.46848	0.341917	1.54417
ENSG00000074842	78.2886	96.1382	104.211	79.1109	80.5842	86.0244	102.41	99.0269	58.3856	109.397	61.4474	45.7487	14.8643	31.9081	9.61548	0.0	35.3851	57.0494	31.7313	38.4651	35.8078	48.93899999999999	34.1844	45.0285
ENSG00000074855	91.3654	74.2477	64.3858	102.199	112.024	83.1311	50.4244	28.741999999999997	47.2069	42.3358	57.3259	52.1646	103.06299999999999	136.904	124.758	162.33100000000002	129.092	35.2475	138.542	132.407	126.596	143.624	152.537	176.196
ENSG00000074935	57.4116	63.4512	89.5221	77.0013	79.0397	85.4067	65.71300000000001	66.8102	50.523	58.8314	37.5512	60.3882	29.7947	22.6193	20.4489	23.6672	20.0178	7.17192	1.8615700000000002	5.64155	4.37651	6.28051	3.34248	3.7738199999999997
ENSG00000074964	49.3183	41.5465	51.4687	51.2125	49.3784	69.998	44.6487	57.3092	55.5107	53.1358	50.2723	40.1865	60.1818	46.1777	44.7287	66.7235	60.6154	40.8599	62.8223	72.2443	78.4622	73.4878	102.811	78.2701
ENSG00000074966	0.812789	0.748578	0.9273549999999999	0.895993	1.8824	2.47321	1.5948200000000001	0.0	0.0	1.8172099999999998	0.0	2.84977	0.0	0.0	0.0	0.0	0.629772	0.0	0.790641	0.0	0.0	0.0	0.0	0.0
