rK1	rK2	rK3	rK4	rK5	rK6
0.0	0.0	256.223	134.632	0.0	0.0
2.5216	0.0	3.45857	0.0	0.0	1.82095
152.63	172.021	123.99600000000001	140.461	137.031	135.655
0.0	0.0	0.0	0.0	0.9891190000000001	0.637833
128.898	364.835	136.439	169.636	141.209	204.37599999999998
6.993410000000001	7.2188300000000005	7.412000000000001	8.70562	5.69571	6.4275400000000005
0.948268	6.46031	1.30062	3.41705	1.06192	1.36956
37.995	21.5709	33.6564	19.3961	33.6845	30.8673
1370.05	769.1139999999999	740.796	1267.18	744.971	1119.89
17.0797	3.2322	4.39239	5.38526	10.1611	4.23977
76.5474	61.9187	92.8617	78.4687	77.9853	84.6129
69.7328	68.6991	63.6454	72.0581	51.1034	69.2405
55.0012	37.4463	39.7279	41.5153	42.6415	34.548
29.3257	21.9105	21.6784	21.4093	19.1925	25.3027
41.0889	44.8701	48.0417	54.3705	66.3803	47.6696
7.47668	13.2878	9.36312	13.5881	11.6491	8.45092
4.45667	0.0	0.0	6.423769999999999	0.0	3.21833
13.0694	8.95093	20.0596	12.5586	15.3327	13.0333
43.1097	44.2479	43.0935	31.5954	39.2759	23.2165
52.7587	60.3128	36.9197	37.2468	34.9669	52.0946
1.1627100000000001	1.1735200000000001	0.531582	0.5586369999999999	5.20827	2.7987900000000003
392.914	396.56699999999995	381.8	395.906	468.05300000000005	369.423
15.2068	10.6688	21.8747	14.969000000000001	16.6141	12.8563
0.8399040000000001	1.43051	2.01599	1.0593	0.235143	2.42611
44.3435	45.7079	36.2335	45.7838	32.4011	32.2492
43.3878	35.3522	45.8721	43.8638	48.5881	40.6881
0.0	0.192262	0.174183	0.183048	0.284431	0.18341500000000002
0.32208400000000004	0.0	0.441763	0.0	0.0	0.0
118.654	163.596	88.6365	218.363	163.721	246.342
162.209	141.593	161.35	188.519	180.015	139.299
0.435113	1.9762099999999998	0.0	3.13583	0.0	1.88527
0.0	0.0	0.0	0.0	0.0	0.0
19.325	12.8445	19.3945	15.6259	15.8351	18.3802
448.191	344.74300000000005	375.611	453.32599999999996	441.3	402.36400000000003
36.0237	22.5943	28.9397	33.3797	35.7309	31.2169
177.493	144.007	175.523	145.586	174.607	198.989
127.59200000000001	90.1997	102.98700000000001	90.5822	74.9459	139.879
446.07300000000004	493.62	381.093	431.82	409.57800000000003	412.212
265.73400000000004	242.845	260.117	282.358	284.866	236.59099999999998
81.9094	67.7541	87.9222	64.1646	88.5361	87.7818
250.37599999999998	228.808	240.209	193.533	245.518	222.02599999999998
285.436	184.204	165.618	284.32099999999997	189.24200000000002	161.52700000000002
44.3128	30.0905	37.5396	30.9966	16.0548	40.9411
139.601	122.52	102.67399999999999	137.062	113.28399999999999	125.649
43.0152	34.4219	42.9847	35.4294	41.2892	43.4881
93.7298	87.7031	83.0268	76.9323	80.1807	78.0268
113.619	97.0867	93.6933	116.54700000000001	101.477	107.72
16.529	8.4987	14.1158	15.2837	6.98493	10.3597
71.4367	81.4942	75.2108	94.9914	86.7592	111.89299999999999
118.87799999999999	77.1322	121.759	130.181	110.65100000000001	114.834
51.8411	43.0895	48.0224	32.7218	40.4737	41.7592
81.0616	78.0274	67.9447	58.4205	65.001	68.6553
0.315911	0.0	0.433296	0.0	0.707549	0.45626300000000003
110.375	100.02600000000001	113.008	107.556	134.05	134.715
180.55599999999998	132.238	119.803	190.963	147.05200000000002	115.146
31.2215	31.3148	41.7521	30.3765	27.9709	34.9467
24.9026	21.5435	23.4211	18.4599	28.684	24.32
41.901	31.7179	61.0624	22.6483	111.44200000000001	49.1698
41.6957	49.5497	35.0513	32.3116	47.1952	31.7289
178.607	95.1924	141.235	126.094	55.106	63.1735
74.5681	117.596	65.5205	84.5296	91.3341	53.8485
