rM1	rM2	rM3	rM4	rM5	rM6
78.2313	44.3326	59.1128	45.7692	50.7775	74.1964
187.774	140.875	134.718	91.5989	116.06200000000001	118.649
1012.43	273.617	394.52	499.31300000000005	629.724	803.79
25.0613	12.3573	16.7679	14.5989	11.7948	14.1753
16.261	0.0	2.31588	3.93661	5.93691	6.689189999999999
28.57	28.3109	41.8392	44.6565	39.9097	51.9928
43.4488	24.4253	38.843	17.6071	27.9762	35.260999999999996
0.0	1.31156	2.3439799999999997	1.9921900000000001	3.00447	3.3851699999999996
0.0	0.959153	0.0	0.0	7.6901399999999995	1.2378
58.3578	51.1561	53.6457	59.7222	77.4783	96.0254
59.2131	120.73700000000001	62.8512	53.1326	49.9739	34.4633
1.0596	0.0	0.414997	0.705426	0.265968	0.0
79.12	57.0651	78.4499	58.6747	62.3444	77.0421
130.418	101.897	84.391	109.475	72.5882	73.7678
0.0	0.0	0.0	1.72338	1.2995299999999999	0.0
22.343000000000004	20.6738	25.7661	25.6177	31.156999999999996	19.6588
64.9423	22.2762	25.435	29.1367	34.7282	61.488
157.411	157.84	151.392	151.289	144.023	182.343
0.45701899999999995	0.0	0.0	0.608518	0.45886099999999996	0.0
105.635	56.4053	62.5836	71.39699999999999	59.76	72.1851
94.553	55.0847	59.3434	51.6098	93.7547	84.3748
13.1302	2.8774599999999997	2.57125	8.74138	23.0704	3.71339
5.3956800000000005	0.9459639999999999	2.11325	5.02902	1.62523	10.987
203.80700000000002	127.805	148.709	115.65100000000001	121.469	161.07399999999998
27.0109	10.9281	26.8542	22.1322	18.7752	18.8038
84.0618	73.5373	66.9236	49.2116	91.9949	69.8142
0.0	0.0	0.0	0.0	1.24004	0.0
