	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
ABCF2	77.51335217087427	119.20764712182601	103.27900070729972	126.82350375855465	102.25334733391931	70.923148907526	111.09016646208285	90.29950410138645	98.61032943653066	124.38024062873272	99.97573755454776	75.64402181671957	99.44007953534127	95.94002655424252	104.6198939104162
CHPF2	88.98486287012966	131.06211261567756	79.95302451419278	119.95626556469428	106.5687017940991	73.47503264120662	87.51425400473113	91.94593386141804	120.53981213385083	104.47138641505822	93.68377200261	101.84484158233175	93.5179285604497	100.38123823914782	106.10083320040249
LRRC7	127.4999268897545	35.103089684383534	137.39698342586192	119.4773110513617	40.82255505218582	139.70013389645248	113.14894972779541	125.35090495840326	61.50014531380129	106.06311102498908	84.9853488788192	108.9515400961917	72.44615828227879	93.54409017073922	134.009751546982
FUT8	77.01519844327129	83.55528610405885	139.42951545266988	94.56731898708172	146.48103859044153	58.95164242247678	90.01455685743997	121.72193390217718	88.26350924038286	122.1006797017423	89.75574286619124	88.14357743206645	131.06476950316085	81.96874433017265	86.96648616666648
UBA6	75.47048222987993	129.5187877597602	95.01073001035992	109.51338248760871	120.76029041135885	69.72632710103247	120.32720103189061	103.35607543053894	76.31672353757048	127.00294005267172	98.21621329823373	74.78084664909457	107.85896289630816	107.48030162527171	84.66073547842014
GAB2	69.30165122430785	174.62573405831503	56.07261471737712	108.1555667593135	113.29073041477929	78.55370282590722	78.03882632582223	136.75290969502538	85.2082639791524	104.68278760520336	124.85636324718172	70.46084914761491	147.40917903195262	95.02118884227758	57.56963212576978
ATP6V0A1	70.83872631802829	178.26174879057342	50.89952489139833	62.13573477152108	100.59386661806715	137.27039861041172	98.23879421645232	95.07887629195363	106.68232949159409	112.26140046929949	93.3649860079542	94.37361352274628	75.12622080987433	97.51022823804152	127.36355095208414
PIAS1	95.55158444685664	114.64256733614802	89.80584821699532	96.6817878556808	110.16272435468903	93.15548778963014	83.83631775427787	128.05572982340632	88.10795242231583	98.14407902549365	119.56821189526138	82.28770907924498	66.13091645114957	115.62768316105694	118.24140038779352
SLC4A7	88.84867042210719	123.96519279904913	87.18613677884365	92.71463020352668	180.79689331991125	26.488476476562067	80.32564801864832	156.88913429361943	62.78521768773223	97.2203295016256	138.03401008609777	64.7456604122766	79.95258577307507	135.60811143986996	84.439302787055
APBA2	21.435496890437648	175.83808989949503	102.72641321006736	125.57986837950381	159.26991223753677	15.15021938295944	104.12986551474042	79.53994797689543	116.33018650836415	106.02659370661127	88.04201791270577	105.93138838068295	78.21432518947314	98.62118588416834	123.16448892635852
MAP2K3	80.97500970078468	74.96665355264294	144.05833674657237	70.15653759682282	143.25283139592756	86.59063100724961	92.11109380573654	79.60805838721724	128.28084780704617	129.67928907893085	110.77876987882303	59.54194104224615	101.0046298593883	118.17491781497749	80.82045232563418
EFCAB1	0.0	160.14394597982331	139.8560540201767	0.0	300.0	0.0	47.58197751595766	240.87210774678135	11.545914737261008	165.05389685349832	60.13569176677972	74.81041137972194	21.683066792818007	98.73922200761682	179.57771119956513
TMSB10	135.11543853582202	66.4795069610551	98.40505450312288	155.39194291413526	97.82328336506536	46.78477372079933	89.28784647103694	83.6814472915391	127.03070623742394	120.35015010346928	71.47676231366319	108.1730875828675	141.21299104740177	108.89233624945376	49.89467270314446
ASTE1	118.57106278122329	110.8834121852045	70.54552503357222	102.54131515347602	102.74971877025747	94.70896607626652	119.15311941479601	106.93833513154618	73.90854545365781	129.60649369889904	104.63813038016487	65.75537592093607	135.3322229075183	101.61335925147614	63.05441784100556
RNF19A	104.5593911783917	122.04482582274193	73.39578299886637	131.5182328764523	107.7768107144891	60.70495640905861	80.05354419378233	119.26668288645921	100.67977291975852	100.67364179175429	112.58332149955237	86.74303670869335	73.36308236987541	108.42784897811468	118.20906865200993
PEX3	92.71210681346113	100.51596295176681	106.77193023477204	42.32412646375083	96.20172679139137	161.4741467448578	74.46742151165896	94.07819121869986	131.45438726964122	97.65294206599906	84.84071510182137	117.50634283217958	80.75629074228891	70.55513187749668	148.6885773802144
