	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)
SEMA3G	128.05706284223638	112.47125117662901	59.471685981134605
NISCH	103.37538609371335	79.0264637427468	117.5981501635398
STAB1	67.43444559046621	111.1385820705055	121.42697233902828
FUZ	95.95932789631753	72.20697375769166	131.8336983459908
SLC6A13	106.72045088622195	95.6688716404014	97.61067747337665
IDS	106.14970950898777	123.02019343878845	70.83009705222383
CD4	78.65836080519591	96.53090428969148	124.81073490511258
LRRC23	98.44775783011984	180.86313837460423	20.68910379527587
BTK	70.61550487293103	149.99082908830565	79.39366603876337
HFE	71.39352604118395	78.76241223660088	149.84406172221517
SCMH1	112.54024376881789	99.06669229845642	88.39306393272574
FYN	114.49904125977409	93.56305131334588	91.93790742688005
HIVEP2	106.51237940157401	100.12111819615784	93.3665024022682
FMO1	40.20676980610128	104.83120309418305	154.96202709971573
TCEB3	93.59540287118392	110.08648841900744	96.31810870980868
LYPLA2	69.02781214540256	92.03781064553263	138.93437720906476
CLCN6	108.83853866534297	107.99793252952637	83.16352880513065
MRC2	89.36281066832092	76.79869035219474	133.83849897948434
NME2	111.79741865569245	51.450422265111186	136.7521590791963
SLC6A7	105.4194578417476	74.03211229857253	120.54842985967991
TSPAN9	114.56472325025425	61.80523260126118	123.63004414848456
BTBD7	99.4587734169984	120.17890672904257	80.36231985395902
APBA3	76.98939333114873	126.76898850569509	96.24161816315619
MKS1	54.01861364436849	130.26438244435275	115.71700391127877
ABHD5	91.69871336237736	131.87620142783504	76.42508520978762
AKAP8L	90.69166298006289	99.59819087261779	109.7101461473193
MBTD1	74.54168121833364	128.19258116270868	97.26573761895766
UTP18	140.63198055161698	30.729693436783368	128.63832601159964
RNF216	94.17735478118696	127.84006851260472	77.98257670620835
PTBP1	101.30655355331007	127.94020620544906	70.75324024124089
DPF1	97.21506077987542	109.96467327023136	92.82026594989323
SYT7	107.39309059442783	86.50738886604272	106.09952053952942
LARS2	112.55071215394719	122.09657353659658	65.3527143094562
PIK3C2A	115.56451764967552	128.56475569787213	55.87072665245236
PLAUR	156.74173987281452	62.62927201997582	80.6289881072097
ANLN	93.32678283648632	134.7163849983321	71.95683216518162
WIZ	108.00999575560333	92.57797253874924	99.41203170564742
RABGAP1	100.45969907292111	116.5790025936141	82.96129833346474
DCN	117.81555899505167	105.93512505750842	76.24931594743994
QPCTL	136.93768139807452	77.45112842416087	85.61119017776458
PPP5C	105.71150953820654	100.7645960266425	93.52389443515095
CEP68	120.4617496810418	112.30572201930245	67.2325282996557
MAP4K3	86.56000461378159	121.12841174745606	92.31158363876236
ZBTB32	12.38290341412508	23.95497795297152	263.66211863290346
TYROBP	55.14435919506114	166.47308296067644	78.38255784426241
TMEM159	157.94928813398192	89.8203883567255	52.23032350929262
GABRA3	113.2604679544882	103.9289261220517	82.81060592346012
BRCA1	103.23588410019721	83.67540975422688	113.08870614557591
ERCC1	90.82465680504632	163.73827029484244	45.43707290011126
CD22	131.5367846320996	106.20972029110358	62.25349507679678
SEMA3B	128.47319177077628	116.71061468562691	54.81619354359679
MBTPS2	116.96361781985532	119.86200570438781	63.17437647575693
PRICKLE3	114.29186427696054	98.01240594947612	87.69572977356334
LTF	260.980302499349	27.38223587115488	11.637461629496075
EXTL3	105.51544061941065	105.6847900503057	88.79976933028374
NR1H4	0.0	300.0	0.0
ELOVL5	96.39118816948914	130.4158341060174	73.19297772449343
ALOX5	89.1477374184901	148.5982277640836	62.254034817426316
CALCOCO1	92.25291382486202	126.5208096177481	81.22627655738992
UBR7	87.77176404909916	121.32728486054252	90.90095109035836
MAP4K5	110.51957757321591	130.65244285181905	58.82797957496504
EHD3	111.91755791299691	97.31200842591153	90.77043366109157
PSMC4	101.31527352839504	99.48141049123151	99.20331598037342
MAN2B2	148.8056103766797	63.25595203659029	87.93843758673
SLC7A14	85.64290282775131	119.89068811777308	94.4664090544756
CLDN11	83.52983666184073	113.02582675618649	103.44433658197278
SLC25A39	105.83044753799172	114.85808546843661	79.31146699357173
MVP	83.76089520816147	68.99701559951174	147.24208919232674
NUB1	82.76056473747072	118.9693664335013	98.27006882902792
PGM3	100.27200494732452	118.54194252651315	81.18605252616233
RWDD2A	122.14975968629678	90.49694445232832	87.35329586137492
CLK1	102.24864343711776	95.17802582573204	102.57333073715016
POLR3B	90.41250209228579	90.52309434101772	119.06440356669651
ANGEL1	101.27552144112113	121.61515524485715	77.10932331402175
RNF14	109.05889581976926	117.91159992710712	73.02950425312358
DNASE1L1	212.01029938784188	67.45096562541994	20.53873498673817
HEBP1	78.39816782168721	113.99552602455671	107.60630615375607
GPRC5A	210.6579826865813	37.68265798366344	51.65935932975525
MAMLD1	91.92074654140396	102.31143075402858	105.76782270456744
CD6	206.4640551064618	44.94080269705135	48.59514219648677
TACC3	155.13167716655195	43.864221274075035	101.00410155937305
UFL1	97.23579307769911	112.90475108263172	89.85945583966917
POLA2	91.1843370189422	128.20886911225472	80.60679386880312
ZC3H3	97.9021222008145	100.27634632853658	101.82153147064892
CAPN1	104.84500583182307	106.26114333908548	88.89385082909145
ACPP	87.35806021210678	117.22626613603605	95.41567365185716
MDH1	105.09002093167636	98.79419965989096	96.11577940843273
SLC30A9	111.22455504611852	117.62619544749921	71.14924950638223
MTMR11	121.99044885596572	130.87042162029056	47.13912952374371
COX15	94.50398935406842	132.32849228709296	73.1675183588386
CCDC88C	99.41285765124913	54.87288327823833	145.71425907051255
YAF2	96.32056045893668	107.7573278279158	95.92211171314749
ZMYND11	85.01231724127746	113.2328967508557	101.75478600786678
