cP1	cP2	cP3	cP4	cP5	cP6
33.6155	24.1654	36.2388	25.5353	41.562	48.538999999999994
4.48843	3.0863400000000003	8.18859	0.0	4.787780000000001	0.0
0.0	0.0	2.19791	4.11822	0.9638200000000001	0.717581
117.915	145.778	159.86700000000002	124.234	138.27	155.86
0.0	0.0	0.725456	0.0	0.0	0.0
136.96	133.076	137.608	131.18	190.558	130.05100000000002
9.54804	9.84815	18.6634	11.6566	13.6404	7.31197
328.49699999999996	305.78	253.959	272.1	285.63599999999997	287.248
79.8601	89.4886	98.0292	84.2557	79.6648	90.4359
53.4031	41.4375	37.0939	37.4031	41.1557	51.3604
299.031	324.79200000000003	312.566	329.88300000000004	382.00699999999995	306.143
251.166	277.184	234.768	269.702	272.052	237.639
46.2725	61.0904	39.3953	35.15	28.1344	30.8686
56.6875	66.2651	83.2278	54.7496	58.3085	53.3803
494.725	253.96200000000002	187.168	200.02700000000002	353.839	252.576
104.928	129.62	58.9868	100.09700000000001	74.1837	88.6604
37.5924	63.0077	54.4987	35.9503	30.6117	24.7901
137.577	109.46600000000001	121.31200000000001	106.74700000000001	129.98	122.52600000000001
52.3455	49.9616	52.025	40.0599	46.8777	49.3271
90.609	104.008	123.979	111.57	115.74799999999999	99.2338
235.202	195.872	224.878	187.59900000000002	255.06900000000002	380.845
24.2789	18.3143	19.5025	30.5548	26.3813	23.3106
76.9446	75.6888	63.0391	68.1909	83.7861	65.3507
219.18400000000003	241.588	236.2	202.002	203.717	226.546
5.64583	29.1164	15.4502	12.8662	9.033539999999999	13.4513
161.269	189.729	176.988	155.045	163.28799999999998	180.105
0.0	0.0	3.9798699999999996	0.0	1.16349	0.0
51.5594	75.9714	57.1101	37.7673	41.2485	43.8718
1.55444	1.6032899999999999	1.41794	0.8855959999999999	0.621789	0.925866
5.7132	4.419580000000001	1.30288	3.25494	1.14267	1.70147
51.8349	55.0843	56.3577	34.006	51.522	51.1454
16.992	15.4229	12.3999	20.9103	19.5752	11.3354
49.8509	43.2724	51.7766	47.8039	47.778999999999996	42.333999999999996
116.335	111.634	123.542	120.686	124.09299999999999	98.5949
0.0	1.0453299999999999	0.92448	0.0	0.0	0.0
2459.45	2259.25	2357.21	2974.38	2959.81	3094.0
188.69	192.68400000000003	235.489	256.719	259.103	249.38099999999997
15.464	12.7601	14.1061	20.2634	6.18576	14.7373
61.1295	80.7051	57.992	50.1506	69.4448	65.5388
