cK1	cK2	cK3	cK4	cK5	cK6
105.98100000000001	32.7506	35.5768	39.1791	7.805	11.4331
344.358	404.096	415.301	344.30699999999996	357.13300000000004	436.464
330.449	480.559	770.605	642.384	1173.21	268.195
144.115	112.93299999999999	127.79	123.249	173.81799999999998	100.75200000000001
55.7751	54.2458	86.1046	54.4117	205.951	66.6062
12.1316	19.8276	24.230999999999998	26.4366	48.7813	12.2149
530.775	261.401	298.21299999999997	308.858	369.8	519.8580000000001
20.7559	17.352	18.3781	11.4715	6.823169999999999	6.057519999999999
75.70100000000001	50.6042	49.3351	50.9071	29.8785	25.01
222.975	241.808	276.647	310.003	244.607	204.75
37.4934	36.0463	44.0515	40.8521	67.6495	28.3132
401.61400000000003	273.496	243.303	273.494	181.158	286.43
18.1089	11.6066	7.09213	13.1541	22.405	0.0
24.4572	11.7566	10.7757	33.3102	44.1283	18.4689
13.5488	11.165	3.03212	4.92082	5.98679	0.0
9.48521	6.83932	11.1443	15.5023	12.2244	2.3875900000000003
78.6689	66.0217	76.0881	64.4055	58.70399999999999	38.5106
13.5411	10.8487	11.9322	11.6803	16.2881	3.4085099999999997
28.2708	46.875	52.9526	39.7318	56.6064	18.1516
184.49400000000003	162.592	213.942	166.47	183.28400000000002	102.555
11.7782	12.1324	10.873	52.2499	13.8785	5.08247
1111.24	1687.36	1635.85	1111.07	1177.17	1608.1
216.638	247.235	261.856	225.007	170.333	246.373
53.9149	53.0681	96.5263	52.4506	142.279	112.448
89.3102	129.77	122.818	78.512	80.5713	65.3989
31.0573	29.8585	24.7285	19.2968	25.1404	13.9555
37.7461	38.6304	35.7649	46.4342	48.9606	68.6548
202.678	166.55200000000002	168.952	148.662	98.0628	158.468
252.94299999999998	986.717	1306.34	582.928	448.412	626.624
56.0176	70.8624	65.8158	61.0357	85.1139	35.6225
568.308	442.584	446.199	444.459	306.487	407.61300000000006
0.25834	0.0	0.0	0.562964	0.532713	0.0
77.4608	66.1502	57.9615	54.2233	49.5249	36.6
5.201969999999999	0.0	0.0	0.0	0.0	0.0
104.693	85.167	126.553	103.103	90.2972	54.7331
1.36293	0.0	0.0	0.0	0.0	0.0
106.665	295.746	300.496	258.76599999999996	151.291	138.845
0.0	2.62425	6.41409	0.0	0.0	5.4967
0.37550100000000003	0.0	0.0	0.0	0.387153	0.0
0.0	0.0	0.0	0.0	0.0	0.0
170.301	147.968	177.61900000000003	145.866	172.769	130.208
247.61900000000003	179.78799999999998	183.299	165.483	126.053	148.41299999999998
3.3279400000000003	2.48849	0.868898	3.62606	0.762491	0.0
13.1425	12.6353	3.08827	5.72794	16.2604	5.29312
12.3939	10.9225	7.2808600000000006	12.3788	11.7136	2.07983
11.7167	36.0463	33.0386	30.6391	19.3284	14.1566
266.07	238.50799999999998	233.18200000000002	276.389	195.673	214.817
80.8094	99.5896	105.777	76.2297	91.1453	84.0947
