cM1	cM2	cM3	cM4	cM5	cM6
0.0	1.43815	0.6616850000000001	0.696596	0.726978	0.0
210.415	142.809	215.16299999999998	180.238	228.261	199.903
34.7687	45.0763	22.2208	28.0718	22.7859	38.6071
11.5505	12.8355	14.9608	14.5067	15.1394	15.3908
42.5948	18.2212	17.148	9.14673	30.6466	5.27117
273.438	431.207	461.10900000000004	395.923	520.981	445.81
1.99007	0.0	0.0	0.0	0.0	0.0
27.6856	25.7387	24.4246	23.3757	31.7138	15.5797
46.4782	37.4606	32.6566	40.5188	34.1705	38.5792
85.3543	156.704	106.625	169.98	99.0724	70.2338
15.6665	13.4117	14.24	25.4852	19.5564	8.564219999999999
111.75299999999999	83.9567	136.27100000000002	144.591	68.3752	189.295
129.192	109.304	142.446	202.368	158.185	191.91299999999998
14.5271	11.1608	20.5401	20.8515	15.3133	33.089
14.2861	11.6573	16.9373	24.9633	10.2348	16.9774
98.9663	87.3244	101.333	136.437	110.74600000000001	122.956
87.4223	109.708	101.95200000000001	105.75200000000001	74.949	129.244
1.9754900000000002	0.0	0.0	0.0	0.0	0.0
14.3974	5.33306	1.22686	3.8747599999999998	4.04376	1.22976
51.0605	52.9725	61.0607	51.5896	54.2669	48.7302
13.8033	9.29637	12.6178	16.4355	15.5076	11.3614
7.428260000000001	29.35	13.5038	10.6622	18.5453	3.3839300000000003
5.20753	2.1432900000000004	0.295835	0.0	0.325027	0.0
47.8456	79.9462	109.12899999999999	111.678	67.6518	88.61
100.007	97.3775	82.743	120.234	90.0542	93.4522
1366.42	1393.94	1986.21	1537.04	1501.6	1832.79
6.7300699999999996	13.2957	3.05864	9.66003	6.7209	0.0
149.64700000000002	196.06400000000002	175.69400000000002	221.50799999999998	168.123	154.806
74.7644	95.2287	112.665	121.434	106.09899999999999	112.932
49.7782	53.342	52.6496	48.931999999999995	45.1913	43.2913
0.0	1.48569	2.05068	0.0	2.25303	0.0
17.3326	27.3933	23.6316	9.951369999999999	20.7708	28.425
708.875	334.782	250.57299999999998	294.626	529.144	166.356
1.74993	0.8642719999999999	0.0	0.0	0.0	0.0
3.89609	3.8484800000000003	4.49477	9.033660000000001	0.44893599999999995	1.22875
304.85400000000004	373.815	433.559	305.547	425.164	253.209
0.962922	0.475578	0.656434	0.0	1.44242	0.0
23.1288	35.6246	14.4309	11.8162	20.5527	8.5719
35.3142	34.8827	40.5458	40.0172	25.9856	35.5615
43.6781	39.5491	55.8297	58.7753	50.4341	44.7694
4.76276	2.1713400000000003	3.4965800000000002	6.836239999999999	4.3904	2.50346
88.4173	70.3547	100.458	43.0084	72.1091	19.4679
0.0	0.0	0.0	0.694281	0.0	0.0
22.9377	19.0799	21.3978	25.9924	7.2336100000000005	19.7985
