cV1	cV2	cV3	cV4	cV5	cV6
91.7027	171.06	192.93099999999998	858.081	203.09799999999998	269.62
95.0044	117.975	91.7619	90.1113	92.1113	129.855
18.3611	17.455	21.2813	41.233999999999995	18.74	22.5099
54.0	73.3363	104.314	141.481	51.1776	44.1346
2.34636	5.06949	9.0651	78.4905	2.99347	1.59808
42.7427	36.9397	43.0789	31.3007	44.2571	30.3774
0.0	0.0	0.0	3.81506	0.0	0.0
14.377	10.3542	14.4649	13.4529	12.7376	19.5841
10.6589	13.8176	8.236089999999999	9.97376	14.5052	11.6155
0.32912399999999997	0.568879	0.0	0.615937	0.27993	0.0
150.518	190.28599999999997	91.3136	182.747	81.4674	38.9731
89.7973	94.3442	76.5287	74.1399	77.8729	69.5545
0.0	1.38936	1.5527600000000001	3.00858	1.36733	2.18987
44.4868	45.7386	43.7093	42.345	43.7087	50.1509
11.425999999999998	16.711	16.1296	75.6633	17.1937	7.1835
90.9591	99.2752	102.79899999999999	112.31299999999999	100.89200000000001	100.272
17.5878	9.806389999999999	15.3435	19.6425	14.4764	8.50111
54.6133	59.286	61.7553	46.7404	74.2072	53.5268
152.454	114.104	111.319	131.05100000000002	111.054	95.3891
163.085	137.42	118.139	99.1915	145.644	149.952
16.1145	13.3464	18.8071	16.3352	21.1299	20.1216
194.71599999999998	294.572	229.78099999999998	283.582	260.715	232.149
42.5817	52.4128	64.8084	61.5781	48.2894	42.1847
29.0211	30.0602	38.1298	41.5321	53.541000000000004	55.5191
0.0	0.0	0.0	0.0	1.31036	0.0
31.8726	18.6915	28.5859	35.1496	29.045	20.1575
171.274	241.715	229.22400000000002	189.24900000000002	239.82	215.312
114.88799999999999	163.644	80.1425	121.43799999999999	94.0965	63.7583
18.2912	18.9176	19.4047	17.9572	18.8727	13.0707
