cC1	cC2	cC3	cC4	cC5	cC6
48.3566	55.9441	44.5204	34.4973	55.8215	48.2249
42.2327	30.6446	30.4796	31.9722	45.3517	32.5428
60.9565	68.5037	48.3095	55.5152	36.5137	61.0046
403.077	354.889	488.375	415.66900000000004	491.82	358.57300000000004
41.06100000000001	37.8879	46.022	29.3605	44.1657	31.8934
29.0074	21.8696	25.0021	27.2812	36.2078	30.2104
83.7653	81.1064	94.0798	92.6726	90.7448	82.6423
129.639	109.163	144.963	126.601	156.33	93.5974
45.0034	22.2191	19.8796	30.237	39.9526	37.5324
185.517	156.65200000000002	261.694	196.41400000000002	110.26100000000001	170.96
28.5927	29.8517	23.5384	29.9933	29.8631	29.0488
71.645	80.8471	89.6564	61.3781	86.5844	60.07899999999999
2.82037	2.4216900000000003	12.4585	26.3646	8.83705	15.0538
73.6506	179.957	21.1799	40.4309	32.0083	22.0961
96.7725	72.5971	85.0456	93.4379	96.8167	74.0809
93.1416	104.49700000000001	98.6307	98.21700000000001	104.398	98.3035
83.6883	135.457	184.415	134.881	198.926	183.554
22.9975	20.8437	15.8026	23.8865	10.6753	11.934000000000001
217.80200000000002	178.375	184.05599999999998	214.388	225.007	190.332
94.124	75.0461	63.3567	65.4661	100.647	65.7892
42.6106	38.6527	50.0923	33.3272	48.8107	29.8051
1.7132	4.41308	1.51356	0.0	0.0	9.144260000000001
43.4336	98.3205	48.8375	55.3656	37.1156	57.9572
19.0305	21.0091	16.8129	120.715	22.7156	10.8832
19.9324	14.5476	17.6097	18.6326	11.4499	23.9377
4.09644	3.2242599999999997	1.20636	2.79221	0.713076	1.36656
251.45	208.195	218.18200000000002	304.311	223.542	209.707
10.9681	19.7771	3.8759900000000003	2.5632200000000003	4.0094	3.6589099999999997
15.6282	100.835	70.6132	40.6968	36.8425	17.2791
59.2781	39.9919	63.5927	56.897	58.9638	61.2082
4.14594	4.44985	1.8314099999999998	1.21112	3.24762	1.38307
0.0	0.716634	1.84339	1.46285	0.8716969999999999	0.556847
100.711	80.7098	99.3556	102.64299999999999	119.211	96.3109
0.0	0.0	0.0	0.0	0.0	0.0
118.259	179.47	168.86599999999999	146.218	145.05700000000002	124.774
87.4072	85.5994	199.107	124.77	197.386	121.679
517.284	393.925	369.668	414.905	533.947	434.506
56.0077	55.7148	69.3943	62.2521	64.9166	62.8875
35.6384	47.7954	32.9848	33.7111	27.6506	42.1205
139.02200000000002	115.124	145.153	188.771	138.312	119.51799999999999
206.22299999999998	199.206	208.12900000000002	255.19299999999998	240.06599999999997	262.759
11.1128	22.7539	15.8596	15.4824	12.052999999999999	18.2508
95.3734	75.4688	121.598	79.5396	54.2978	91.3312
138.988	253.59900000000002	54.4189	59.0566	80.8295	56.9034
88.751	52.9809	70.1946	81.976	79.4524	78.952
45.11	57.9005	66.1484	55.4277	68.4859	58.953
122.994	127.821	123.898	114.54899999999999	144.575	125.36200000000001
62.2432	60.4157	63.119	60.0818	56.5294	65.7229
57.708999999999996	43.4662	61.7177	55.6022	40.1821	45.9334
333.12300000000005	280.334	332.69199999999995	322.26099999999997	360.531	299.564
21.5895	21.9865	9.31505	24.3471	20.189	20.4341
65.64399999999999	61.0265	57.5585	82.4716	72.6847	65.8604
210.646	234.55599999999998	188.07299999999998	211.34799999999998	206.79	217.517
15.645	3.3583800000000004	27.6439	22.8514	28.5954	15.6574
160.601	140.89600000000002	131.09	138.705	147.681	151.41
0.0	0.0	0.0	0.0	0.0	0.0
33.1675	30.6697	18.0323	32.7935	29.3118	17.0224
1.6153	0.0	0.0	1.88746	0.562358	0.718478
7.91587	6.7969100000000005	6.11926	2.3124	4.1338	2.6407
43.5269	57.9298	67.2958	49.5892	56.4473	58.0816
26.3683	23.8538	19.9676	19.2569	39.3427	24.5041
59.8383	46.6821	61.928000000000004	59.1327	53.926	61.1402
109.863	85.0378	106.625	138.213	146.153	126.26899999999999
2.10632	1.8085799999999999	0.0	0.0	0.0	0.0
1093.76	1037.52	974.34	1344.98	1303.79	1266.6
130.069	141.83700000000002	136.17	174.782	177.96099999999998	155.338
9.64172	9.65859	8.51817	5.63313	4.47561	6.43288
59.2882	61.8161	59.8621	48.4944	45.9996	51.9887
3.85569	4.59814	6.24504	3.00356	1.3423399999999999	2.00082
67.0666	78.5268	83.4906	74.8046	73.2305	62.3737
330.25800000000004	273.026	318.487	328.48699999999997	332.102	298.83799999999997
0.0	0.0	0.0	0.0	0.0	0.0
44.288999999999994	80.2822	80.4297	94.8772	51.3965	45.9655
938.5880000000001	845.972	894.596	1103.5	1018.94	1044.63
0.0	0.370242	0.190474	0.0	0.0	0.0
61.7557	50.5453	57.1118	62.8771	82.98200000000001	65.5392
698.949	715.704	301.719	564.768	415.634	588.951
284.797	235.88299999999998	218.21	352.416	344.833	325.098
0.0	0.0	0.0	0.0	0.0	0.0
33.4429	28.7155	29.9803	35.055	28.765	19.0316
29.6138	39.1196	26.1629	26.6181	41.6361	16.7184
